Dataset XOR

Mejor accuracy: 1.0
Hay 112 clasificadores con el mismo accuracy
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 2, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0009244202344850484718')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0007034682531777309165')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.01, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.10404053740422085827')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.01, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.10404053740422085827')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.01, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.10404053740422085827')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.01, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.10404053740422085827')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.004341217752180242664')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.004341217752180242664')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.004341217752180242664')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.004341217752180242664')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0004895566860031729911')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0004895566860031729911')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0004895566860031729911')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0004895566860031729911')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0033317845688289904504')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0033317845688289904504')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0033317845688289904504')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0033317845688289904504')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00034108285839430428633')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.5, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00034108285839430428633')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.5, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00034108285839430428633')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00034108285839430428633')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.01, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.11143629462790004088')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.01, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.11143629462790004088')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.01, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.11143629462790004088')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.01, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.11143629462790004088')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.1, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0020832410594029358554')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.1, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0020832410594029358554')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.1, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0020832410594029358554')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.1, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0020832410594029358554')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00023765149326017377023')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.5, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00023765149326017377023')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.5, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00023765149326017377023')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 32, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00023765149326017377023')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.01, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.124239476944594147924')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.01, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.124239476944594147924')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.01, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.124239476944594147924')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.01, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.124239476944594147924')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.1, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0021607904195374907425')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.1, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0021607904195374907425')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.1, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0021607904195374907425')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.1, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0021607904195374907425')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00021421495922037760613')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.5, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00021421495922037760613')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.5, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00021421495922037760613')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Z-score', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 128, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.00021421495922037760613')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 2, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0013673019683460498371')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 2, 'Learning-rate': 0.5, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0013673019683460498371')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 2, 'Learning-rate': 0.5, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0013673019683460498371')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 2, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0013673019683460498371')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.1, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.06950847859492007098')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.1, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.06950847859492007098')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.1, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.06950847859492007098')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.1, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.06950847859492007098')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0011679517903124673413')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.5, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0011679517903124673413')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.5, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0011679517903124673413')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 4, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0011679517903124673413')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.025444494498382597797')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.025444494498382597797')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.025444494498382597797')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.1, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.025444494498382597797')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0008213094036738231356')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0008213094036738231356')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0008213094036738231356')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 8, 'Learning-rate': 0.5, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.0008213094036738231356')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 8, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.032181302878570813728')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 16, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.032181302878570813728')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 32, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.032181302878570813728')}
{'Dataset': 'XOR', 'Initialization': 'Xavier', 'Normalization': 'Ninguna', 'Activation': 'Sigmoid', 'Input-size': 2, 'Output-size': 1, 'Hidden-layer-size': 16, 'Learning-rate': 0.1, 'Batch-size': 64, 'Epochs': 2000, 'Accuracy': np.float64(1.0), 'Last-error': np.longdouble('0.032181302878570813728')}
